type,id,damage_dice,crit,crit_range,weight_class,armor,max_dex_bonus,rarity
Weapon,Long Sword,1d8,2,,Light,,6,Common
Weapon,Battleaxe,1d8,3,,Medium,,3
Weapon,Light Flail,1d8,2,,Medium,,4
Weapon,Scimitar,1d6,2,18,Light,,6
Weapon,Trident,1d10,2,,Heavy,,3
Weapon,Mace,1d8,2,,Medium,,4
Weapon,Greatsword,2d6,2,,Medium,,3
Weapon,Glaive,1d10,3,,Medium,,4
Weapon,Greataxe,1d12,3,,Heavy,,2
Weapon,Scythe,2d4,4,16,Heavy,,
Weapon,Halberd,1d10,3,,Medium,,4
Weapon,Rapier,1d4,4,17,None,,None
Weapon,Ultra Greatsword,2d10,2,,Heavy,,0
Armor,Padded Leather,,,,Light,2,5,Common
Armor,Studded Leather,,,,Light,3,5
Armor,Haramaki,,,,None,1,None
Armor,Chain Shirt,,,,Light,4,4
Armor,Breastplate,,,,Medium,6,3
Armor,Chain Mail,,,,Medium,6,2
Armor,Armored Coat,,,,Medium,5,5
Armor,Scale Mail,,,,Medium,5,4
Armor,Half-plate,,,,Heavy,8,1
Armor,Stoneplate,,,,Heavy,10,0
Armor,Banded Mail,,,,Heavy,7,2
Armor,Full-plate,,,,Heavy,9,1
